Asia	AF
Europe	AL
Africa	AG
Oceania	AQ
Europe	AN
Africa	AO
Americas	AV
Americas	AC
Americas	AR
Asia	AM
Americas	AA
Oceania	AS
Europe	AU
Asia	AJ
Americas	BF
Asia	BA
Asia	BG
Americas	BB
Europe	BO
Europe	BE
Americas	BH
Africa	BN
Americas	BD
Asia	BT
Americas	BL
Europe	BK
Africa	BC
Americas	BR
Americas	VI
Asia	BX
Europe	BU
Africa	UV
Africa	BY
Asia	CB
Africa	CM
Americas	CA
Africa	CV
Americas	CJ
Africa	CT
Africa	CD
Americas	CI
Asia	CH
Asia	KT
Asia	CK
Americas	CO
Africa	CN
Africa	CF
Oceania	CW
Americas	CS
Africa	IV
Europe	HR
Americas	CU
Asia	CY
Europe	EZ
Europe	DA
Africa	DJ
Americas	DO
Americas	DR
Americas	EC
Africa	EG
Americas	ES
Africa	EK
Africa	ER
Europe	EN
Africa	ET
Americas	FA
Europe	FO
Oceania	FJ
Europe	FI
Europe	FR
Americas	FG
Oceania	FP
Africa	GB
Africa	GA
Asia	GG
Europe	GM
Africa	GH
Europe	GI
Europe	GR
Americas	GL
Americas	GJ
Americas	GP
Oceania	GQ
Americas	GT
Africa	GV
Africa	PU
Americas	GY
Americas	HA
Europe	VT
Americas	HO
Europe	HU
Europe	IC
Asia	IN
Asia	ID
Asia	IR
Asia	IZ
Europe	EI
Asia	IS
Europe	IT
Americas	JM
Asia	JA
Asia	JO
Asia	KZ
Africa	KE
Oceania	KR
Asia	KN
Asia	KS
Asia	KU
Asia	KG
Asia	LA
Europe	LG
Asia	LE
Africa	LT
Africa	LI
Africa	LY
Europe	LS
Europe	LH
Europe	LU
Europe	MK
Africa	MA
Africa	MI
Asia	MY
Asia	MV
Africa	ML
Europe	MT
Oceania	RM
Americas	MB
Africa	MR
Africa	MP
Africa	MF
Americas	MX
Oceania	
Europe	MD
Europe	MN
Asia	MG
Americas	MH
Africa	MO
Africa	MZ
Asia	BM
Africa	WA
Oceania	NR
Asia	NP
Europe	NL
Americas	NT
Oceania	NC
Oceania	NZ
Americas	NU
Africa	NG
Africa	NI
Oceania	NE
Oceania	NF
Oceania	CQ
Europe	NO
Asia	MU
Asia	PK
Oceania	PS
Americas	PM
Oceania	PP
Americas	PA
Americas	PE
Asia	RP
Oceania	PC
Europe	PL
Europe	PO
Americas	RQ
Asia	QA
Africa	RE
Europe	RO
Asia	RS
Africa	RW
Americas	SC
Americas	ST
Americas	SB
Americas	VC
Europe	SM
Africa	TP
Asia	SA
Africa	SG
Europe	SR
Africa	SE
Africa	SL
Asia	SN
Europe	LO
Europe	SI
Oceania	BP
Africa	SO
Africa	SF
Europe	SP
Asia	CE
Africa	SU
Americas	NS
Europe	SV
Africa	WZ
Europe	SW
Europe	SZ
Asia	SY
Asia	TW
Asia	TI
Africa	TZ
Asia	TH
Africa	TO
Oceania	TL
Oceania	TN
Americas	TD
Africa	TS
Asia	TU
Asia	TX
Americas	TK
Oceania	TV
Africa	UG
Europe	UP
Asia	TC
Europe	UK
Americas	US
Americas	UY
Asia	UZ
Oceania	NH
Americas	VE
Asia	VM
Americas	VQ
Oceania	WF
Africa	WI
Oceania	WS
Asia	YM
Africa	CG
Africa	ZA
Africa	ZI
Asia	HK
Asia	MC
Antarctica	AY
Atlantic Ocean	BV
Asia	IO
Indian Ocean	FS
Indian Ocean	HM
Europe	MW
Atlantic Ocean	SH
Atlantic Ocean	SX
Asia	AT
Americas	BQ
Oceania	CR
Europe	EE
Asia	GZ
Europe	IM
Oceania	FM
Americas	FA
Europe	GK
Europe	JE
Americas	IP
Europe	JN
Europe	MJ
Asia	PF
Asia	PG
Europe	RB
Asia	TT
Asia	WE
Oceania	WQ
Americas	UM
